"unitid","institution name","year","DRVEF2022.Percent of total enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of total enrollment that are Asian","DRVEF2022.Percent of total enrollment that are Black or African American","DRVEF2022.Percent of total enrollment that are Hispanic/Latino","DRVEF2022.Percent of total enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of total enrollment that are White","DRVEF2022.Percent of total enrollment that are two or more races","DRVEF2022.Percent of total enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of total enrollment that are U.S. Nonresident","DRVEF2022.Percent of total enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of total enrollment that are women","DRVEF2022.Percent of undergraduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of undergraduate enrollment that are Asian","DRVEF2022.Percent of undergraduate enrollment that are Black or African American","DRVEF2022.Percent of undergraduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of undergraduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are White","DRVEF2022.Percent of undergraduate enrollment that are two or more races","DRVEF2022.Percent of undergraduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of undergraduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of undergraduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of undergraduate enrollment that are women","DRVEF2022.Percent of graduate enrollment that are American Indian or Alaska Native","DRVEF2022.Percent of graduate enrollment that are Asian","DRVEF2022.Percent of graduate enrollment that are Black or African American","DRVEF2022.Percent of graduate enrollment that are Hispanic/Latino","DRVEF2022.Percent of graduate enrollment that are Native Hawaiian or Other Pacific Islander","DRVEF2022.Percent of graduate enrollment that are White","DRVEF2022.Percent of graduate enrollment that are two or more races","DRVEF2022.Percent of graduate enrollment that are Race/ethnicity unknown","DRVEF2022.Percent of graduate enrollment that are U.S. Nonresident","DRVEF2022.Percent of graduate enrollment that are Asian/Native Hawaiian/Pacific Islander","DRVEF2022.Percent of graduate enrollment that are women"
"154110","Northeast Iowa Community College","2022","0","1","3","4","0","90","1","1","0","1","58","0","1","3","4","0","90","1","1","0","1","58",,,,,,,,,,,
"154129","Northwest Iowa Community College","2022","1","1","3","9","0","83","2","2","0","1","56","1","1","3","9","0","83","2","2","0","1","56",,,,,,,,,,,
"154156","Des Moines University-Osteopathic Medical Center","2022","0","15","3","6","0","72","3","2","0","15","54",,,,,,,,,,,,"0","15","3","6","0","72","3","2","0","15","54"
"154165","Iowa School of Beauty-Ottumwa","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"154174","Palmer College of Chiropractic","2022","1","7","5","12","1","72","2","0","0","8","43","0","3","0","6","0","81","9","0","0","3","41","1","7","5","12","1","72","2","0","0","8","43"
"154208","PCI Academy-Ames","2022","1","0","5","11","0","72","11","0","0","0","97","1","0","5","11","0","72","11","0","0","0","97",,,,,,,,,,,
"154235","Saint Ambrose University","2022","0","2","5","9","0","74","4","3","2","2","58","0","2","5","10","0","72","4","3","3","2","54","0","2","6","6","0","82","3","1","1","2","71"
"154262","St Luke's College","2022","2","1","5","20","0","68","4","1","0","1","92","2","1","5","20","0","68","4","1","0","1","92",,,,,,,,,,,
"154332","La James International College-Davenport","2022","0","1","26","14","0","45","15","0","0","1","97","0","1","26","14","0","45","15","0","0","1","97",,,,,,,,,,,
"154350","Simpson College","2022","0","1","4","9","0","77","5","2","2","2","52","0","2","4","9","0","77","5","2","2","2","52","0","0","4","4","0","83","4","4","0","0","54"
"154378","Southeastern Community College","2022","2","1","5","6","0","51","3","27","4","2","58","2","1","5","6","0","51","3","27","4","2","58",,,,,,,,,,,
"154396","Southwestern Community College","2022","0","1","3","6","0","85","2","1","1","1","59","0","1","3","6","0","85","2","1","1","1","59",,,,,,,,,,,
"154448","Capri College-Davenport","2022","1","2","12","20","0","62","3","0","0","2","93","1","2","12","20","0","62","3","0","0","2","93",,,,,,,,,,,
"154457","Iowa School of Beauty-Sioux City","2022","0","0","8","31","0","62","0","0","0","0","100","0","0","8","31","0","62","0","0","0","0","100",,,,,,,,,,,
"154466","E Q School of Hair Design","2022","0","0","10","13","0","70","7","0","0","0","93","0","0","10","13","0","70","7","0","0","0","93",,,,,,,,,,,
"154493","Upper Iowa University","2022","1","4","16","8","0","63","2","3","4","4","59","1","4","16","8","0","62","2","3","4","5","57","0","2","18","6","0","69","1","1","2","2","68"
"154518","Waldorf University","2022","1","1","11","3","1","47","3","32","1","2","38","1","1","10","3","1","46","3","33","1","2","37","0","2","15","2","0","52","2","27","0","3","44"
"154527","Wartburg College","2022","0","1","4","4","0","79","3","2","6","1","51","0","1","4","4","0","79","3","2","6","1","51","4","0","4","4","0","89","0","0","0","0","71"
"154536","Wartburg Theological Seminary","2022","0","0","2","3","0","91","2","2","1","0","59",,,,,,,,,,,,"0","0","2","3","0","91","2","2","1","0","59"
"154545","The Salon Professional Academy-Cedar Falls","2022","0","1","46","13","3","31","6","0","0","4","29","0","1","46","13","3","31","6","0","0","4","29",,,,,,,,,,,
"154572","Western Iowa Tech Community College","2022","1","2","4","21","0","61","2","3","5","2","60","1","2","4","21","0","61","2","3","5","2","60",,,,,,,,,,,
"154590","William Penn University","2022","1","1","16","10","1","58","4","4","5","2","50","1","1","16","10","1","58","4","5","5","2","51","0","1","9","6","0","61","4","1","17","1","33"
"154642","Allen County Community College","2022","1","2","5","13","0","70","3","1","6","2","63","1","2","5","13","0","70","3","1","6","2","63",,,,,,,,,,,
"154688","Baker University","2022","1","3","9","9","0","69","4","2","2","3","57","1","3","8","10","0","69","4","2","2","3","54","1","2","12","6","1","71","4","3","0","3","66"
"154697","Barton County Community College","2022","1","4","12","12","1","64","5","1","0","5","55","1","4","12","12","1","64","5","1","0","5","55",,,,,,,,,,,
"154712","Benedictine College","2022","0","2","3","11","0","77","3","3","1","2","51","0","2","3","11","0","77","3","3","1","2","51","0","4","4","5","0","77","1","5","3","4","41"
"154721","Bethany College","2022","1","2","18","17","1","51","4","0","6","2","42","1","2","18","17","1","51","4","0","6","2","42",,,,,,,,,,,
"154749","Bethel College-North Newton","2022","4","2","18","16","0","54","0","2","4","2","48","4","2","18","16","0","54","0","2","4","2","48",,,,,,,,,,,
"154800","Butler Community College","2022","1","4","9","15","0","61","0","8","2","4","62","1","4","9","15","0","61","0","8","2","4","62",,,,,,,,,,,
"154855","Central Christian College of Kansas","2022","3","1","11","22","1","53","4","4","2","2","50","3","1","10","23","1","53","5","4","1","2","51","0","0","15","12","0","59","0","9","6","0","24"
"154907","Cloud County Community College","2022","0","1","6","8","0","69","6","6","4","1","59","0","1","6","8","0","69","6","6","4","1","59",,,,,,,,,,,
"154925","Coffeyville Community College","2022","5","0","16","7","0","53","9","5","5","0","42","5","0","16","7","0","53","9","5","5","0","42",,,,,,,,,,,
"154934","Colby Community College","2022","1","1","3","1","0","77","7","7","4","1","69","1","1","3","1","0","77","7","7","4","1","69",,,,,,,,,,,
"154952","Cowley County Community College","2022","2","1","4","11","0","67","7","1","7","1","58","2","1","4","11","0","67","7","1","7","1","58",,,,,,,,,,,
"154998","Dodge City Community College","2022","0","1","8","46","0","36","2","4","2","1","51","0","1","8","46","0","36","2","4","2","1","51",,,,,,,,,,,
"155007","Donnelly College","2022","1","6","35","40","0","15","3","1","0","6","73","1","6","35","40","0","15","3","1","0","6","73",,,,,,,,,,,
"155025","Emporia State University","2022","1","2","3","6","0","68","6","7","7","2","67","1","1","3","6","0","71","10","3","4","1","63","1","2","3","5","0","65","3","11","10","2","71"
"155052","Flint Hills Technical College","2022","0","1","2","22","0","70","3","0","0","1","45","0","1","2","22","0","70","3","0","0","1","45",,,,,,,,,,,
"155061","Fort Hays State University","2022","0","2","3","5","0","56","1","31","2","2","62","0","2","3","5","0","50","1","37","2","2","60","1","1","4","4","0","78","2","7","2","2","71"
"155070","Barclay College","2022","1","1","18","19","0","53","5","2","2","1","49","1","1","18","21","0","51","5","2","2","1","52","0","0","24","0","0","76","0","0","0","0","24"
"155089","Friends University","2022","1","2","10","16","0","55","7","6","4","2","58","0","2","11","19","0","51","8","5","3","3","53","1","1","7","5","0","68","3","9","5","1","72"
"155098","Fort Scott Community College","2022","1","0","8","7","0","79","4","0","0","1","54","1","0","8","7","0","79","4","0","0","1","54",,,,,,,,,,,
"155104","Garden City Community College","2022","0","2","6","51","1","32","2","3","3","2","54","0","2","6","51","1","32","2","3","3","2","54",,,,,,,,,,,
"155140","Haskell Indian Nations University","2022","100","0","0","0","0","0","0","0","0","0","61","100","0","0","0","0","0","0","0","0","0","61",,,,,,,,,,,
"155159","Hays Academy of Hair Design","2022","1","1","4","15","0","75","3","0","0","1","100","1","1","4","15","0","75","3","0","0","1","100",,,,,,,,,,,
"155177","Hesston College","2022","2","1","8","14","0","52","4","1","18","1","54","2","1","8","14","0","52","4","1","18","1","54",,,,,,,,,,,
"155186","Highland Community College","2022","2","2","11","4","0","69","7","5","0","2","55","2","2","11","4","0","69","7","5","0","2","55",,,,,,,,,,,
"155195","Hutchinson Community College","2022","1","1","5","12","0","65","4","11","1","1","57","1","1","5","12","0","65","4","11","1","1","57",,,,,,,,,,,
"155201","Independence Community College","2022","1","0","20","9","1","49","8","9","2","1","54","1","0","20","9","1","49","8","9","2","1","54",,,,,,,,,,,
"155210","Johnson County Community College","2022","1","4","6","13","1","63","5","5","3","5","55","1","4","6","13","1","63","5","5","3","5","55",,,,,,,,,,,
"155283","Concorde Career College-Kansas City","2022","2","3","19","13","0","27","0","36","0","3","89","2","3","19","13","0","27","0","36","0","3","89",,,,,,,,,,,
"155292","Kansas City Kansas Community College","2022","0","4","18","26","0","40","6","3","2","4","58","0","4","18","26","0","40","6","3","2","4","58",,,,,,,,,,,
"155308","Kansas Christian College","2022","2","3","35","13","1","32","5","3","6","4","27","2","3","35","13","1","32","5","3","6","4","27",,,,,,,,,,,
"155317","University of Kansas","2022","1","6","4","9","0","67","5","1","7","6","55","1","6","4","10","0","69","6","1","4","6","54","1","6","5","7","0","61","4","3","14","6","58"
"155335","Newman University","2022","1","5","3","16","0","67","5","1","3","5","63","1","5","3","16","0","66","5","1","3","5","61","1","2","6","12","0","73","4","0","3","2","72"
"155353","Old Town Barber College-Wichita","2022","1","1","45","26","1","17","8","0","0","3","12","1","1","45","26","1","17","8","0","0","3","12",,,,,,,,,,,
"155399","Kansas State University","2022","0","2","3","8","0","77","3","1","5","2","53","0","2","3","9","0","79","4","1","2","2","50","1","3","4","7","0","67","2","2","14","3","62"
"155414","Kansas Wesleyan University","2022","1","1","14","20","0","57","6","0","1","1","42","1","1","14","19","0","58","6","0","1","1","43","0","0","10","28","0","53","6","0","3","0","32"
"155423","Washburn Institute of Technology","2022","1","0","5","14","0","57","3","17","1","0","38","1","0","5","14","0","57","3","17","1","0","38",,,,,,,,,,,
"155450","Labette Community College","2022","2","1","5","8","0","76","7","1","0","1","62","2","1","5","8","0","76","7","1","0","1","62",,,,,,,,,,,
"155487","Manhattan Area Technical College","2022","1","1","5","11","0","75","6","0","1","2","42","1","1","5","11","0","75","6","0","1","2","42",,,,,,,,,,,
"155496","Manhattan Christian College","2022","1","1","6","7","0","80","5","1","0","1","48","1","1","6","7","0","80","5","1","0","1","48",,,,,,,,,,,
"155511","McPherson College","2022","3","2","13","19","0","52","2","2","7","2","33","3","2","13","19","0","52","2","2","7","2","32","0","0","0","29","0","57","0","14","0","0","71"
"155520","MidAmerica Nazarene University","2022","1","1","11","5","0","56","4","16","5","2","60","1","1","12","5","1","52","4","19","6","2","53","1","2","11","5","0","72","4","4","2","2","82"
"155566","Neosho County Community College","2022","1","1","4","7","0","76","4","2","5","1","58","1","1","4","7","0","76","4","2","5","1","58",,,,,,,,,,,
"155593","North Central Kansas Technical College","2022","1","1","1","4","0","91","3","0","0","1","38","1","1","1","4","0","91","3","0","0","1","38",,,,,,,,,,,
"155618","Northwest Kansas Technical College","2022","1","0","7","17","0","70","2","0","3","0","31","1","0","7","17","0","70","2","0","3","0","31",,,,,,,,,,,
"155627","Ottawa University-Ottawa","2022","1","1","17","16","1","51","7","1","5","2","37","1","1","17","16","1","50","7","1","5","2","37","2","1","16","16","2","54","5","1","3","3","39"
"155636","Ottawa University-Kansas City","2022","1","21","8","10","0","54","3","1","1","22","68","1","0","7","14","1","72","3","1","0","1","77","2","51","9","3","0","27","4","1","3","51","56"
"155681","Pittsburg State University","2022","2","1","3","7","0","77","5","1","4","1","52","2","1","3","7","0","78","6","1","2","1","50","1","2","3","4","0","75","4","0","11","2","60"
"155715","Pratt Community College","2022","1","1","6","5","0","64","5","13","5","1","47","1","1","6","5","0","64","5","13","5","1","47",,,,,,,,,,,
"155812","University of Saint Mary","2022","1","2","10","18","0","56","4","9","1","2","52","0","1","12","19","0","54","4","7","2","2","48","1","2","6","14","0","60","3","14","1","2","61"
"155830","Salina Area Technical College","2022","0","1","3","15","0","78","2","1","0","1","52","0","1","3","15","0","78","2","1","0","1","52",,,,,,,,,,,
"155858","Seward County Community College","2022","1","2","3","53","0","27","1","11","2","2","64","1","2","3","53","0","27","1","11","2","2","64",,,,,,,,,,,
"155900","Southwestern College","2022","1","2","14","14","1","42","2","21","3","2","35","1","2","15","15","1","42","2","20","3","3","34","1","1","10","11","1","39","2","28","7","2","46"
"155937","Sterling College","2022","0","1","10","7","0","62","8","4","7","1","41","0","1","11","7","0","62","9","4","7","1","40","0","0","8","4","0","67","8","4","8","0","58"
"155973","Tabor College","2022","1","0","10","16","0","60","5","1","7","1","42","1","0","11","16","0","59","5","1","6","1","42","0","0","6","14","0","67","2","0","12","0","47"
"156082","Washburn University","2022","1","2","7","12","0","62","5","7","4","2","64","1","2","8","13","0","63","5","4","4","2","63","1","2","5","5","0","58","2","23","3","2","65"
"156107","Wichita State University-Campus of Applied Sciences and Technology","2022","1","4","8","23","0","55","6","2","0","5","45","1","4","8","23","0","55","6","2","0","5","45",,,,,,,,,,,
"156125","Wichita State University","2022","1","6","5","13","0","50","4","2","19","6","55","1","7","6","15","0","52","5","2","12","7","56","0","3","3","5","0","44","2","1","41","3","53"
"156134","Wichita Technical Institute","2022","3","2","19","16","1","51","7","0","0","3","41","3","2","19","16","1","51","7","0","0","3","41",,,,,,,,,,,
"156189","Alice Lloyd College","2022","1","0","6","1","0","90","0","1","0","0","48","1","0","6","1","0","90","0","1","0","0","48",,,,,,,,,,,
"156213","Asbury University","2022","0","2","5","8","0","77","2","2","5","2","61","0","1","4","7","0","77","2","2","5","1","60","0","3","8","9","0","77","2","1","0","3","62"
"156222","Asbury Theological Seminary","2022","1","3","9","7","0","58","4","5","14","3","42",,,,,,,,,,,,"1","3","9","7","0","58","4","5","14","3","42"
"156231","Ashland Community and Technical College","2022","0","1","1","2","0","93","3","1","0","1","60","0","1","1","2","0","93","3","1","0","1","60",,,,,,,,,,,
"156277","Barrett and Company School of Hair Design","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"156286","Bellarmine University","2022","0","3","8","7","0","74","4","1","2","3","63","0","3","8","7","0","73","5","1","2","3","62","0","3","11","4","0","75","4","1","2","3","67"
"156295","Berea College","2022","0","4","18","15","0","44","9","1","8","4","59","0","4","18","15","0","44","9","1","8","4","59",,,,,,,,,,,
"156310","PJ's College of Cosmetology-Bowling Green","2022","0","4","21","4","2","61","6","1","0","6","99","0","4","21","4","2","61","6","1","0","6","99",,,,,,,,,,,
"156338","Southcentral Kentucky Community and Technical College","2022","0","4","8","8","0","74","4","1","0","4","60","0","4","8","8","0","74","4","1","0","4","60",,,,,,,,,,,
"156356","Brescia University","2022","0","2","11","7","1","65","0","13","0","3","65","1","3","11","6","1","65","0","13","0","3","62","0","1","13","13","0","66","0","7","0","1","85"
"156365","Campbellsville University","2022","0","3","6","1","0","51","0","5","34","3","52","0","3","8","2","0","75","0","7","5","3","60","0","2","4","1","0","23","0","2","68","2","42"
"156392","Bluegrass Community and Technical College","2022","0","3","12","9","0","70","4","1","0","3","59","0","3","12","9","0","70","4","1","0","3","59",,,,,,,,,,,
"156408","Centre College","2022","0","4","6","7","0","73","4","1","5","4","52","0","4","6","7","0","73","4","1","5","4","52",,,,,,,,,,,
"156417","Clear Creek Baptist Bible College","2022","0","0","5","2","0","90","3","0","0","0","14","0","0","5","2","0","89","4","0","0","0","14","0","0","0","0","0","100","0","0","0","0","7"
"156426","Paul Mitchell the School-Lexington","2022","0","1","13","2","2","77","2","1","1","3","93","0","1","13","2","2","77","2","1","1","3","93",,,,,,,,,,,
"156471","Galen College of Nursing-Louisville","2022","0","3","11","12","0","48","3","22","0","3","92","0","3","12","12","0","48","2","23","0","3","92","0","3","8","12","0","55","6","16","0","3","91"
"156541","University of the Cumberlands","2022","0","5","2","0","0","23","0","46","23","5","54","0","1","3","1","0","41","0","54","1","1","66","0","7","2","0","0","15","0","43","32","7","50"
"156620","Eastern Kentucky University","2022","0","1","7","5","0","81","4","1","1","2","61","0","1","7","5","0","81","5","1","1","1","59","0","2","7","4","0","79","4","1","2","2","70"
"156648","Elizabethtown Community and Technical College","2022","0","1","6","6","0","80","5","1","0","2","58","0","1","6","6","0","80","5","1","0","2","58",,,,,,,,,,,
"156727","Frontier Nursing University","2022","1","3","15","5","0","69","4","3","0","3","94",,,,,,,,,,,,"1","3","15","5","0","69","4","3","0","3","94"
"156745","Georgetown College","2022","0","1","8","5","0","77","4","2","3","1","59","0","1","8","6","0","76","4","0","4","1","53","1","0","8","2","0","82","1","6","0","0","80"
"156754","PJ's College of Cosmetology-Glasgow","2022","0","0","5","7","0","84","5","0","0","0","98","0","0","5","7","0","84","5","0","0","0","98",,,,,,,,,,,
"156790","Hazard Community and Technical College","2022","0","0","1","1","0","95","2","1","0","0","57","0","0","1","1","0","95","2","1","0","0","57",,,,,,,,,,,
"156842","Paul Mitchell the School-Louisville","2022","0","1","12","4","0","79","2","2","0","1","97","0","1","12","4","0","79","2","2","0","1","97",,,,,,,,,,,
"156851","Henderson Community College","2022","0","0","11","7","0","76","5","1","0","0","73","0","0","11","7","0","76","5","1","0","0","73",,,,,,,,,,,
"156860","Hopkinsville Community College","2022","0","2","21","10","0","59","6","1","0","2","66","0","2","21","10","0","59","6","1","0","2","66",,,,,,,,,,,
"156921","Jefferson Community and Technical College","2022","0","4","20","10","0","58","5","3","0","4","57","0","4","20","10","0","58","5","3","0","4","57",,,,,,,,,,,
"156967","Summit Salon Academy-Lexington","2022","0","1","16","4","0","68","10","1","0","1","98","0","1","16","4","0","68","10","1","0","1","98",,,,,,,,,,,
"157021","American National University-Pikeville","2022","1","13","26","0","0","52","1","5","1","13","84","2","2","27","0","0","63","1","6","0","2","92","0","56","25","2","0","8","2","2","5","56","56"
"157030","Kentucky Mountain Bible College","2022","3","0","0","6","0","85","0","0","6","0","38","3","0","0","6","0","85","0","0","6","0","38",,,,,,,,,,,
"157058","Kentucky State University","2022","0","1","66","2","0","7","4","19","2","1","58","0","0","68","2","0","7","4","19","1","0","59","0","2","47","2","0","12","3","18","17","2","50"
"157076","Kentucky Wesleyan College","2022","0","2","13","5","0","67","1","12","1","2","49","0","2","13","5","0","67","1","12","1","2","49",,,,,,,,,,,
"157085","University of Kentucky","2022","0","4","7","6","0","74","4","2","4","4","60","0","4","7","6","0","76","4","2","2","4","58","0","4","8","4","0","68","2","4","9","4","64"
"157100","Kentucky Christian University","2022","0","0","19","5","0","50","3","20","3","0","38","0","0","19","4","1","49","3","22","3","1","36","0","0","13","8","0","71","2","2","4","0","60"
"157207","Lexington Theological Seminary","2022","0","0","16","0","0","84","0","0","0","0","51",,,,,,,,,,,,"0","0","16","0","0","84","0","0","0","0","51"
"157216","Lindsey Wilson College","2022","0","4","8","0","0","53","2","10","22","4","51","1","1","11","0","0","70","3","14","1","1","56","0","9","5","0","0","32","2","6","47","9","45"
"157289","University of Louisville","2022","0","6","14","7","0","64","5","0","3","6","56","0","6","15","7","0","64","6","0","1","6","57","0","6","11","6","0","64","4","1","9","6","55"
"157298","Louisville Presbyterian Theological Seminary","2022","0","4","19","6","0","65","4","1","1","4","69",,,,,,,,,,,,"0","4","19","6","0","65","4","1","1","4","69"
"157304","Madisonville Community College","2022","0","1","5","4","0","84","3","2","0","1","55","0","1","5","4","0","84","3","2","0","1","55",,,,,,,,,,,
"157331","Maysville Community and Technical College","2022","0","0","3","4","0","88","3","1","0","0","60","0","0","3","4","0","88","3","1","0","0","60",,,,,,,,,,,
"157377","Midway University","2022","0","1","10","7","0","70","5","2","5","1","63","0","1","10","7","0","71","5","3","4","1","62","0","0","10","5","0","66","4","1","13","0","66"
"157386","Morehead State University","2022","0","1","3","3","0","83","3","6","1","1","61","0","1","3","3","0","83","3","6","1","1","61","0","1","7","2","0","86","2","1","1","2","60"
"157401","Murray State University","2022","0","1","6","3","0","77","3","4","6","1","63","0","1","6","3","0","78","3","4","5","1","63","0","1","8","2","0","74","3","3","8","1","63"
"157438","Gateway Community and Technical College","2022","0","1","7","6","0","79","5","1","0","2","56","0","1","7","6","0","79","5","1","0","2","56",,,,,,,,,,,
"157447","Northern Kentucky University","2022","0","2","9","4","0","77","3","2","3","2","64","0","2","6","4","0","78","3","2","4","2","60","0","3","14","4","0","74","2","2","1","3","73"
"157483","West Kentucky Community and Technical College","2022","0","1","8","5","0","78","4","3","0","1","56","0","1","8","5","0","78","4","3","0","1","56",,,,,,,,,,,
"157535","University of Pikeville","2022","1","7","6","2","0","81","1","0","2","7","56","1","1","7","1","0","85","2","0","3","2","56","1","16","3","3","1","74","0","1","0","17","56"
"157553","Big Sandy Community and Technical College","2022","0","1","1","1","0","94","2","1","0","1","58","0","1","1","1","0","94","2","1","0","1","58",,,,,,,,,,,
"157614","Empire Beauty School-Chenoweth","2022","0","1","47","6","0","40","3","2","0","1","98","0","1","47","6","0","40","3","2","0","1","98",,,,,,,,,,,
"157650","Empire Beauty School-Elizabethtown","2022","0","0","15","1","1","58","2","24","0","1","97","0","0","15","1","1","58","2","24","0","1","97",,,,,,,,,,,
"157669","Empire Beauty School-Dixie","2022","0","1","72","3","0","17","3","5","0","1","97","0","1","72","3","0","17","3","5","0","1","97",,,,,,,,,,,
"157678","Empire Beauty School-Florence","2022","0","0","6","4","0","84","5","0","0","0","100","0","0","6","4","0","84","5","0","0","0","100",,,,,,,,,,,
"157711","Somerset Community College","2022","0","1","1","3","0","92","2","0","0","1","60","0","1","1","3","0","92","2","0","0","1","60",,,,,,,,,,,
"157739","Southeast Kentucky Community & Technical College","2022","0","0","2","1","0","91","1","4","0","0","61","0","0","2","1","0","91","1","4","0","0","61",,,,,,,,,,,
"157748","The Southern Baptist Theological Seminary","2022","0","4","3","2","0","76","0","1","15","4","23","0","2","2","1","0","90","0","0","4","2","47","0","4","3","2","0","71","0","1","19","4","15"
"157757","Spalding University","2022","0","1","18","6","0","62","3","10","0","1","71","0","2","18","7","0","53","3","18","0","2","63","0","1","18","5","0","70","2","3","0","1","79"
"157793","Sullivan University","2022","1","3","20","5","0","45","6","17","3","3","67","1","2","23","5","0","48","6","14","2","2","67","0","9","10","5","0","35","4","30","6","9","65"
"157809","Thomas More University","2022","0","1","7","4","0","79","3","2","4","1","52","0","1","7","4","0","79","3","2","4","1","51","0","2","7","5","0","81","0","2","4","2","57"
"157818","Transylvania University","2022","0","3","5","5","0","78","6","1","1","3","56","0","3","5","5","0","78","6","1","1","3","56",,,,,,,,,,,
"157854","Kentucky Community and Technical College System","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"157863","Union College","2022","0","1","12","4","1","60","4","1","18","2","43","1","0","15","5","1","62","4","1","11","2","40","0","2","1","2","0","52","2","1","39","2","53"
"157951","Western Kentucky University","2022","0","3","8","5","0","78","4","1","1","3","63","0","3","8","5","0","77","4","1","1","3","62","0","2","9","4","0","79","3","1","3","2","66"
"158088","Central Louisiana Technical Community College","2022","1","0","34","2","0","57","3","3","0","1","50","1","0","34","2","0","57","3","3","0","1","50",,,,,,,,,,,
"158246","Ayers Career College","2022","0","1","83","2","0","8","7","0","0","1","70","0","1","83","2","0","8","7","0","0","1","70",,,,,,,,,,,
"158325","Baton Rouge General Medical Center School of Nursing & School of Radiologic Technology","2022","1","1","28","1","0","67","2","0","0","1","87","1","1","28","1","0","67","2","0","0","1","87",,,,,,,,,,,
"158343","Baton Rouge School of Computers","2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"158431","Bossier Parish Community College","2022","1","1","42","5","1","45","4","1","1","1","67","1","1","42","5","1","45","4","1","1","1","67",,,,,,,,,,,
"158477","Centenary College of Louisiana","2022","1","3","18","9","0","60","5","1","3","3","55","2","3","17","9","0","60","5","0","3","3","54","0","0","27","12","0","55","3","3","0","0","58"
"158538","Cloyd's Beauty School 1 Inc","2022","0","0","32","3","2","59","3","0","0","2","100","0","0","32","3","2","59","3","0","0","2","100",,,,,,,,,,,
"158617","Crescent City Bartending School","2022","0","25","34","11","0","22","0","8","0","25","71","0","25","34","11","0","22","0","8","0","25","71",,,,,,,,,,,
"158662","Delgado Community College","2022","0","3","51","11","1","28","3","1","2","3","70","0","3","51","11","1","28","3","1","2","3","70",,,,,,,,,,,
"158778","Avery James College","2022","2","0","53","2","0","38","6","0","0","0","100","2","0","53","2","0","38","6","0","0","0","100",,,,,,,,,,,
"158787","Denham Springs Beauty School","2022","0","2","3","2","0","92","2","0","0","2","100","0","2","3","2","0","92","2","0","0","2","100",,,,,,,,,,,
"158802","Dillard University","2022","0","0","87","3","0","0","3","6","1","0","76","0","0","87","3","0","0","3","6","1","0","76",,,,,,,,,,,
"158884","Nunez Community College","2022","1","2","41","6","0","30","2","18","0","2","64","1","2","41","6","0","30","2","18","0","2","64",,,,,,,,,,,
"159009","Grambling State University","2022","0","0","92","1","0","1","2","2","2","0","66","0","0","91","1","0","1","2","2","2","0","64","0","0","95","1","0","1","1","0","2","0","74"
"159027","Guy's Shreveport Academy of Cosmetology Inc","2022","0","0","56","2","0","42","0","0","0","0","100","0","0","56","2","0","42","0","0","0","0","100",,,,,,,,,,,
"159197","ITI Technical College","2022","1","1","46","2","0","49","2","0","0","1","16","1","1","46","2","0","49","2","0","0","1","16",,,,,,,,,,,
"159328","John Jay Beauty College","2022","0","1","18","9","0","67","0","3","1","1","99","0","1","18","9","0","67","0","3","1","1","99",,,,,,,,,,,
"159373","Louisiana State University Health Sciences Center-New Orleans","2022","0","10","12","6","0","67","2","2","1","10","71","0","8","18","8","0","63","3","1","0","8","86","0","11","9","5","0","69","2","2","2","11","64"
"159382","Louisiana State University-Alexandria","2022","6","3","19","2","0","60","1","8","1","3","70","6","3","19","2","0","60","1","8","1","3","70",,,,,,,,,,,
"159391","Louisiana State University and Agricultural & Mechanical College","2022","0","4","17","8","0","62","3","1","4","5","56","1","5","17","9","0","63","3","1","2","5","55","0","2","13","6","0","56","2","3","17","2","61"
"159407","Louisiana State University-Eunice","2022","0","1","25","2","0","67","3","2","0","1","75","0","1","25","2","0","67","3","2","0","1","75",,,,,,,,,,,
"159416","Louisiana State University-Shreveport","2022","1","4","24","1","0","58","4","4","4","4","61","1","2","25","1","0","57","5","5","4","2","61","1","4","24","0","0","58","4","4","4","5","62"
"159513","Aveda Arts & Sciences Institute-Baton Rouge","2022","1","1","58","3","0","36","1","1","0","1","97","1","1","58","3","0","36","1","1","0","1","97",,,,,,,,,,,
"159522","Aveda Arts & Sciences Institute-Lafayette","2022","1","1","24","2","0","71","1","1","0","1","98","1","1","24","2","0","71","1","1","0","1","98",,,,,,,,,,,
"159531","Louisiana Academy of Beauty","2022","0","0","19","0","0","81","0","0","0","0","100","0","0","19","0","0","81","0","0","0","0","100",,,,,,,,,,,
"159568","Louisiana Christian University","2022","1","1","26","4","0","61","3","0","5","1","52","1","1","25","3","0","63","3","0","5","1","46","2","1","34","4","0","55","3","0","3","1","75"
